StudID,Y1GPA,Y12GPA,Org
1,2.8619090534746645,3.0756329667528695,JID
2,3.2776580603498346,3.330168953328393,FIG
3,3.8644041216870146,3.6889090958982704,JJI
4,3.449190430083361,3.3933755351243806,DHJ
5,3.1418247270165014,,FIG
6,2.454324727016501,2.9396927628522027,FIG
7,3.57236660157796,3.8769030818482864,ECE
8,1.75,2.15,XXX
9,2.6668247270165013,2.793072179134845,FIG
10,4,4,CEI
11,3.4125,3.5875,XXX
12,4,4,CEI
13,3.6869090534746647,3.546542057661961,JID
14,4,4,BIA
15,2.679324727016501,2.5926689533283933,FIG
16,4,4,None
17,2.7961040427675474,2.5942923575872556,FJG
18,3.3306590534746645,3.501345979230588,JID
19,2.4662294889212633,2.715883239042679,FIG
20,3.710389757053261,3.541167357587256,FJG
21,3.4086040427675472,3.541167357587256,FJG
22,3.37236660157796,3.4377364151816194,ECE
23,3.4970498950686304,3.628266844139293,None
24,3.7893220090307294,3.5831969636958094,DHJ
25,3.9711040427675472,3.978667357587256,FJG
26,3.5595498950686304,3.6184183592908084,None
27,3.74736660157796,,ECE
28,4,4,None
29,3.18174160157796,3.098778081848286,ECE
30,3.6043247270165013,3.5614189533283933,FIG
31,3.2183679755311463,3.2873917525634173,IGI
32,4,4,BIA
33,4,4,BIA
34,3.6143220090307295,3.3894469636958093,DHJ
35,4,4,None
36,3.5933679755311463,3.397391752563417,IGI
37,4,4,CEI
38,3.980867975531146,3.9440584192300836,IGI
39,3.775305317399713,,CEI
40,3.605867975531146,3.7186417525634172,IGI
41,3.004324727016501,2.93683561999506,FIG
42,3.511909053474665,3.556125390995294,JID
43,3.05,3.4484848484848483,XXX
44,3.2866776681929717,3.3392598624193024,FIG
45,4,3.8746683592908084,None
46,2.818488675697396,3.176140512082906,DHJ
47,4,4,None
48,3.2135867149130823,2.9886136303624755,DHJ
49,3.0875,3.521212121212121,XXX
50,3.44736660157796,3.434100051545256,ECE
51,3.7723207883536816,3.752971595898271,JJI
52,3.74736660157796,3.576903081848286,ECE
53,3.1473666015779602,3.233153081848286,ECE
54,4,3.672685870210476,IGI
55,2.6418247270165014,2.9051689533283933,FIG
56,2.19736660157796,2.231069748514953,ECE
